px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
11.2756	21.0389	4.80431	3.18229	0.595589	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565	0
10.8253	20.9736	4.75085	3.25823	0.618497	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643	0.428713
10.8253	20.9736	4.75085	3.25823	0.618497	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604	0
10.3059	21.0292	4.84058	3.25021	0.523669	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674	3.31021
10.3059	21.0292	4.84058	3.25021	0.523669	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463	0
9.8789	20.9699	4.74626	3.30058	0.522542	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327	0.887073
9.8789	20.9699	4.74626	3.30058	0.522542	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189	0
9.45212	20.8789	4.67718	3.35674	0.528712	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977	0.486169
9.45212	20.8789	4.67718	3.35674	0.528712	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362	0
8.90792	20.7937	4.83516	3.38822	0.498183	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605	2.76142
8.90792	20.7937	4.83516	3.38822	0.498183	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372	0
8.37886	20.5944	4.97598	3.47032	0.53917	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701	2.41774
8.37886	20.5944	4.97598	3.47032	0.53917	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542	0
7.90446	20.434	4.98689	3.51632	0.528476	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237	0.0430622
7.90446	20.434	4.98689	3.51632	0.528476	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781	0
7.35836	20.3107	5.10191	3.51791	0.458415	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717	2.65822
7.35836	20.3107	5.10191	3.51791	0.458415	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399	0
6.86356	20.1457	5.12694	3.54231	0.429465	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462	0.28929
6.86356	20.1457	5.12694	3.54231	0.429465	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357	0
6.39164	19.9683	5.11518	3.5679	0.406369	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079	0.15693
6.39164	19.9683	5.11518	3.5679	0.406369	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625	0
