px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
17.7853	18.2879	4.72099	2.35997	0.532237	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	1.09879
17.6521	18.4691	4.70479	2.36669	0.502858	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	6.63743
17.4576	18.6508	4.75236	2.39441	0.504568	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	0.48794
17.2769	18.7918	4.73694	2.4302	0.524185	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	1.78194
17.1157	18.9285	4.69801	2.45463	0.523085	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	0.324635
16.9485	19.0988	4.70591	2.46631	0.500921	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	3.02613
16.7315	19.2146	4.70835	2.50698	0.517267	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	2.71716
16.5413	19.3678	4.7264	2.53119	0.519942	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	3.2437
16.3161	19.5292	4.79059	2.55681	0.518211	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	0.86445
16.0932	19.6122	4.7721	2.60864	0.558468	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	10.0918
15.8877	19.7562	4.79596	2.62887	0.549899	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	0.770836
15.6993	19.881	4.76708	2.63302	0.500458	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	3.19994
15.4684	20.0344	4.83123	2.65062	0.49119	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	1.34388
15.2566	20.1766	4.85436	2.66158	0.470451	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	5.66054
15.0683	20.3083	4.83882	2.67282	0.457973	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	1.83913
14.8378	20.3908	4.83833	2.71093	0.482212	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	2.16263
14.6221	20.51	4.84931	2.7275	0.474162	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	0.623517
14.3852	20.5972	4.86805	2.7643	0.501139	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	1.29695
14.1388	20.6713	4.88347	2.79662	0.508409	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	0.729194
13.9016	20.7427	4.89268	2.83233	0.530069	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	0.368484
13.6275	20.8064	4.94194	2.86722	0.537802	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294	1.72519
13.379	20.8374	4.94964	2.92106	0.590467	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	2.34474
13.133	20.8781	4.94858	2.95441	0.594488	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	0.160971
12.9011	20.9369	4.93984	2.97554	0.582925	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694	1.78053
12.7017	20.9801	4.8798	2.99835	0.577986	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469	1.9405
12.4489	21.021	4.90317	3.02619	0.578655	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175	2.5614
12.2022	21.058	4.9136	3.05091	0.573873	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912	0.148494
11.9636	21.0779	4.91022	3.08202	0.581953	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778	0.942658
11.7212	21.048	4.88858	3.12605	0.598502	11.6814	20.8651	11.785	21.117	-4.86022	0.286869	1.88556
11.4742	21.0347	4.8876	3.16129	0.60448	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281	1.07229
11.2587	21.0276	4.84578	3.19035	0.604561	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057	0.693518
11.0047	20.9891	4.85783	3.22974	0.614415	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565	4.1248
10.7949	20.9504	4.80706	3.26581	0.621872	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643	0.577036
10.547	20.9498	4.79576	3.26974	0.568262	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604	5.64678
10.2654	20.9782	4.87292	3.27261	0.537802	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674	3.4168
10.0266	20.9598	4.8686	3.29142	0.526337	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463	1.02138
9.83362	20.9202	4.79822	3.32014	0.531072	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327	1.67344
9.59958	20.9119	4.76561	3.3176	0.475944	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189	2.2969
9.40727	20.8596	4.70307	3.34728	0.484045	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977	1.02401
9.18655	20.8177	4.69275	3.36978	0.48427	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362	1.47691
8.89285	20.7873	4.79086	3.37855	0.465033	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605	2.24542
8.67879	20.7074	4.76966	3.41383	0.482095	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372	4.44959
8.40217	20.6242	4.84217	3.43956	0.48219	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701	2.79048
8.17371	20.5439	4.84637	3.469	0.492096	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542	0.103808
7.93118	20.4642	4.86733	3.4916	0.489426	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237	0.127813
7.71531	20.3776	4.87068	3.52538	0.512108	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781	3.4988
